,Number,submitted,updated,category,males,females,id,title,abstract
7098,12088,2019-04-11,2019-04-11,physics,2.0,1.0,1904.05726v1,Role of disorder and correlations in metal-insulator transition in   ultrathin SrVO3 films,"Metallic oxide SrVO3 represents a prototype system for the study of the mechanism behind thickness-induced metal-to-insulator transition (MIT) or crossover in thin films due to its simple cubic symmetry with one electron in the 3d state in the bulk. Here we report a deviation of chemical composition and distortion of lattice structure existing in the initial 3 unit cells of SrVO3 films grown on SrTiO3 (001) from its bulk form, which shows a direct correlation to the thickness-dependent MIT. In-situ photoemission and scanning tunneling spectroscopy indicate a MIT at the critical thickness of ~3 unit cell (u.c.), which coincides with the formation of a (root2Xroot2)R45 surface reconstruction. However, atomically resolved scanning transmission electron microscopy and electron energy loss spectroscopy show depletion of Sr, change of V valence, thus implying the existence of a significant amount of oxygen vacancies in the 3 u.c. of SrVO3 near the interface. Transport and magneto-transport measurements further reveal that disorder, rather than electron correlations, is likely to be the main cause for the MIT in the SrVO3 ultrathin films."
7114,12139,2019-04-11,2019-04-11,physics,1.0,1.0,1904.05802v2,Difficulty-aware Image Super Resolution via Deep Adaptive Dual-Network,"Recently, deep learning based single image super-resolution(SR) approaches have achieved great development. The state-of-the-art SR methods usually adopt a feed-forward pipeline to establish a non-linear mapping between low-res(LR) and high-res(HR) images. However, due to treating all image regions equally without considering the difficulty diversity, these approaches meet an upper bound for optimization. To address this issue, we propose a novel SR approach that discriminately processes each image region within an image by its difficulty. Specifically, we propose a dual-way SR network that one way is trained to focus on easy image regions and another is trained to handle hard image regions. To identify whether a region is easy or hard, we propose a novel image difficulty recognition network based on PSNR prior. Our SR approach that uses the region mask to adaptively enforce the dual-way SR network yields superior results. Extensive experiments on several standard benchmarks (e.g., Set5, Set14, BSD100, and Urban100) show that our approach achieves state-of-the-art performance."
7115,12142,2019-04-11,2019-04-11,physics,1.0,1.0,1904.05805v1,"Phase Diagram, Scalar-Pseudoscalar Meson Behavior and Restoration of   Symmetries in (2+1) Polyakov-Nambu-Jona-Lasinio Model","We explore the phase diagram and the modification of mesonic observables in a hot and dense medium using the (2+1) Polyakov-Nambu-Jona-Lasinio model. We present the phase diagram in the ($T,\,\mu_B$)-plane, with its isentropic trajectories, paying special attention to the chiral critical end point (CEP). Chiral and deconfinement transitions are examined. The modifications of mesonic observables in the medium are explored as a tool to analyze the effective restoration of chiral symmetry for different regions of the phase diagram. It is shown that the meson masses, namely that of the kaons, change abruptly near the CEP, which can be relevant for its experimental search."
7119,12155,2019-04-11,2019-04-11,physics,4.0,3.0,1904.05818v2,Three-Body Hypernuclei in Pionless Effective Field Theory,"We calculate the structure of three-body hypernuclei with $S=-1$ using pionless effective field theory at leading order in the isospin $I=0$ and $I=1$ sectors. In both sectors, three-body hypernuclei arise naturally from the Efimov effect and a three-body parameter is required at leading order. We apply our theory to the hypertriton and the hypothetical $\Lambda nn$ bound state and calculate the corresponding scaling factors. Moreover, we discuss constraints on the existence of the $\Lambda nn$ bound state. In particular, we elucidate universal correlations between different observables and provide explicit calculations of wave functions and matter radii."
7122,12164,2019-04-11,2019-04-11,physics,2.0,1.0,1904.05827v2,Majorana finite frequency nonequilibrium quantum noise,"Quantum finite frequency noise is one of fundamental aspects in quantum measurements performed during quantum information processing where currently Majorana bound states offer an efficient way to implement fault-tolerant quantum computation via topological protection from decoherence or unitary errors. Thus a detailed exploration of Majorana finite frequency noise spectra, preferably in a nonequilibrium device, is a timely challenge of fundamental importance. Here we present results on finite frequency differential noise that is the derivative of the noise with respect to the frequency. This quantity has universal units of $e^2$ and scans in high detail all peculiarities of the Majorana noise clearly demonstrating its universal finite frequency features. In particular, we provide photon absorption spectra on all energy scales and reveal a rich structure including universal Majorana plateaus as well as universal Majorana resonances and antiresonances at characteristic frequencies. Our results are of immediate interest to state-of-the-art experiments involving quantum noise mesoscopic detectors able to separately measure photon absorption and emission spectra."
7125,12184,2019-04-11,2019-04-11,physics,3.0,1.0,1904.05849v4,KLTS: A rigorous method to compute the confidence intervals for the   Three-Cornered Hat and for Groslambert Covariance,"The three-cornered hat / Groslambert Covariance methods are widely used to estimate the stability of each individual clock in a set of three, but no method gives reliable confidence intervals for large integration times.   We propose a new KLTS (Karhunen-Lo\`eve Tansform using Sufficient statistics) method which uses these estimators to take into account the statistics of all the measurements between the pairs of clocks in a Bayesian way. The resulting Cumulative Density Function (CDF) yields confidence intervals for each clock AVAR. This CDF provides also a stability estimator which is always positive.   Checked by massive Monte-Carlo simulations, KLTS proves to be perfectly reliable even for one degree of freedom. An example of experimental measurement is given."
7129,12200,2019-04-11,2019-04-11,physics,1.0,1.0,1904.05863v1,Spin dynamics of the antiferromagnetic Heisenberg model on a kagome   bilayer,"We study the spin dynamics of classical Heisenberg antiferromagnet with nearest neighbor interactions on a quasi-two-dimensional kagome bilayer. This geometrically frustrated lattice consists of two kagome layers connected by a triangular-lattice linking layer. By combining Monte Carlo with precessional spin dynamics simulations, we compute the dynamical structure factor of the classical spin liquid in kagome bilayer and investigate the thermal and dilution effects. While the low frequency and long wavelength dynamics of the cooperative paramagnetic phase is dominated by spin diffusion, weak magnon excitations persist at higher energies, giving rise the half moon pattern in the dynamical structure factor. In the presence of spin vacancies, the dynamical properties of the diluted system can be understood within the two population picture. The spin diffusion of the ""correlated"" spin clusters is mainly driven by the zero-energy weather-van modes, giving rise to an autocorrelation function that decays exponentially with time. On the other hand, the diffusive dynamics of the quasi-free ""orphan"" spins leads to a distinctive longer time power-law tail in the autocorrelation function. We discuss the implications of our work for the glassy behaviors observed in the archetypal frustrated magnet SrCr$_{9p}$Ga$_{12-9p}$O$_{19}$ (SCGO)."
7130,12202,2019-04-11,2019-04-11,physics,1.0,1.0,1904.06218v1,Ground-based Gamma-Ray Astronomy: an Introduction,"During the last two decades Gamma-Ray Astronomy has emerged as a powerful tool to study cosmic ray physics. In fact, photons are not deviated by galactic or extragalactic magnetic fields so their directions bring the information of the production sites and are easier to detect than neutrinos. Thus the search for $\gamma$ primarily address in the framework of the search of cosmic ray sources and to the investigation of the phenomena in the acceleration sites. This note is not a place for a review of ground-based gamma-ray astronomy. We will introduce the experimental techniques used to detect photons from ground in the overwhelming background of CRs and briefly describe the experiments currently in data taking or under installation."
7132,12206,2019-04-11,2019-04-11,physics,2.0,2.0,1904.05866v1,"Expressive Body Capture: 3D Hands, Face, and Body from a Single Image","To facilitate the analysis of human actions, interactions and emotions, we compute a 3D model of human body pose, hand pose, and facial expression from a single monocular image. To achieve this, we use thousands of 3D scans to train a new, unified, 3D model of the human body, SMPL-X, that extends SMPL with fully articulated hands and an expressive face. Learning to regress the parameters of SMPL-X directly from images is challenging without paired images and 3D ground truth. Consequently, we follow the approach of SMPLify, which estimates 2D features and then optimizes model parameters to fit the features. We improve on SMPLify in several significant ways: (1) we detect 2D features corresponding to the face, hands, and feet and fit the full SMPL-X model to these; (2) we train a new neural network pose prior using a large MoCap dataset; (3) we define a new interpenetration penalty that is both fast and accurate; (4) we automatically detect gender and the appropriate body models (male, female, or neutral); (5) our PyTorch implementation achieves a speedup of more than 8x over Chumpy. We use the new method, SMPLify-X, to fit SMPL-X to both controlled images and images in the wild. We evaluate 3D accuracy on a new curated dataset comprising 100 images with pseudo ground-truth. This is a step towards automatic expressive human capture from monocular RGB data. The models, code, and data are available for research purposes at https://smpl-x.is.tue.mpg.de."
7136,12214,2019-04-11,2019-04-11,physics,3.0,1.0,1904.05873v1,An Empirical Study of Spatial Attention Mechanisms in Deep Networks,"Attention mechanisms have become a popular component in deep neural networks, yet there has been little examination of how different influencing factors and methods for computing attention from these factors affect performance. Toward a better general understanding of attention mechanisms, we present an empirical study that ablates various spatial attention elements within a generalized attention formulation, encompassing the dominant Transformer attention as well as the prevalent deformable convolution and dynamic convolution modules. Conducted on a variety of applications, the study yields significant findings about spatial attention in deep networks, some of which run counter to conventional understanding. For example, we find that the query and key content comparison in Transformer attention is negligible for self-attention, but vital for encoder-decoder attention. A proper combination of deformable convolution with key content only saliency achieves the best accuracy-efficiency tradeoff in self-attention. Our results suggest that there exists much room for improvement in the design of attention mechanisms."
7147,12253,2019-04-11,2019-04-11,physics,2.0,1.0,1904.05918v2,Entanglement entropy from nonequilibrium work,"The R\'enyi entanglement entropy in quantum many-body systems can be viewed as the difference in free energy between partition functions with different trace topologies. We introduce an external field $\lambda$ that controls the partition function topology, allowing us to define a notion of nonequilibrium work as $\lambda$ is varied smoothly. Nonequilibrium fluctuation theorems of the work provide us with statistically exact estimates of the R\'enyi entanglement entropy. This framework also naturally leads to the idea of using quench functions with spatially smooth profiles, providing us a way to average over lattice scale features of the entanglement entropy while preserving long distance universal information. We use these ideas to extract universal information from quantum Monte Carlo simulations of SU(N) spin models in one and two dimensions. The vast gain in efficiency of this method allows us to access unprecedented system sizes up to 192 x 96 spins for the square lattice Heisenberg antiferromagnet."
7148,12260,2019-04-11,2019-04-11,physics,5.0,3.0,1904.05923v1,Survey of Major Load Balancing Algorithms in Distributed System,"The classification of the most used load balancing algorithms in distributed systems (including cloud technology, cluster systems, grid systems) is described. Comparative analysis of types of the load balancing algorithms is conducted in accordance with the classification, the advantages and drawbags of each type of the algorithms are shown. Performance indicators characterizing each algorithm are indicated."
7150,12265,2019-04-11,2019-04-11,physics,1.0,2.0,1904.05928v1,On $p$-compact group topologies on direct sums of ${\mathbb Q}$,"We prove that if $p$ is a selective ultrafilter then ${\mathbb Q}^{(\kappa)}$ has a $p$-compact group topology without non-trivial convergent sequences, for each infinite cardinal $\kappa =\kappa^\omega$. In particular, this gives the first arbitrarily large examples of countably compact groups without non-trivial convergent sequences that are torsion-free."
7151,12266,2019-04-11,2019-04-11,physics,1.0,2.0,1904.05929v1,Crowdsourcing Lightweight Pyramids for Manual Summary Evaluation,"Conducting a manual evaluation is considered an essential part of summary evaluation methodology. Traditionally, the Pyramid protocol, which exhaustively compares system summaries to references, has been perceived as very reliable, providing objective scores. Yet, due to the high cost of the Pyramid method and the required expertise, researchers resorted to cheaper and less thorough manual evaluation methods, such as Responsiveness and pairwise comparison, attainable via crowdsourcing. We revisit the Pyramid approach, proposing a lightweight sampling-based version that is crowdsourcable. We analyze the performance of our method in comparison to original expert-based Pyramid evaluations, showing higher correlation relative to the common Responsiveness method. We release our crowdsourced Summary-Content-Units, along with all crowdsourcing scripts, for future evaluations."
7153,12277,2019-04-11,2019-04-11,physics,3.0,1.0,1904.05938v1,Astro 2020 Science White Paper: Cosmic-ray Antinuclei as Messengers for   Dark Matter,"The origin of dark matter is a driving question of modern physics. Low-energy antideuterons provide a ""smoking gun"" signature of dark matter annihilation or decay, essentially free of astrophysical background. Low-energy antiprotons are a vital partner for this analysis, and low-energy antihelium could provide further discovery space for new physics. In the coming decade, AMS-02 will continue accumulating the large statistics and systematic understanding necessary for it to probe rare antinuclei signatures, and GAPS, which is the first experiment optimized specifically for low-energy cosmic antinuclei, will begin several Antarctic balloon campaigns. The connection of cosmic-ray antinuclei and dark matter is reviewed and the outlook in light of experimental progress is presented."
7167,12337,2019-04-12,2019-04-12,physics,10.0,3.0,1904.05989v1,Construction of conformal maps based on the locations of singularities   for improving the double exponential formula,"The double exponential formula, or the DE formula, is a high-precision integration formula using a change of variables called a DE transformation; whereas there is a disadvantage that it is sensitive to singularities of an integrand near the real axis. To overcome this disadvantage, Slevinsky and Olver (SIAM J. Sci. Comput., 2015) attempted to improve it by constructing conformal maps based on the locations of singularities. Based on their ideas, we construct a new transformation formula. Our method employs special types of the Schwarz-Christoffel transformations for which we can derive their explicit form. Then, the new transformation formula can be regarded as a generalization of the DE transformations. We confirm its effectiveness by numerical experiments."
7171,12355,2019-04-12,2019-04-12,physics,5.0,1.0,1904.06006v1,Unique weak solutions of the non-resistive magnetohydrodynamic equations   with fractional dissipation,"This paper examines the uniqueness of weak solutions to the d-dimensional magnetohydrodynamic (MHD) equations with the fractional dissipation $(-\Delta)^\alpha u$ and without the magnetic diffusion. Important progress has been made on the standard Laplacian dissipation case $\alpha=1$. This paper discovers that there are new phenomena with the case $\alpha<1$. The approach for $\alpha=1$ can not be directly extended to $\alpha<1$. We establish that, for $\alpha<1$, any initial data $(u_0, b_0)$ in the inhomogeneous Besov space $B^\sigma_{2,\infty}(\mathbb R^d)$ with $\sigma> 1+\frac{d}{2}-\alpha$ leads to a unique local solution. For the case $\alpha\ge 1$, $u_0$ in the homogeneous Besov space $\mathring B^{1+\frac{d}{2}-2\alpha}_{2,1}(\mathbb R^d)$ and $b_0$ in $ \mathring B^{1+\frac{d}{2}-\alpha}_{2,1}(\mathbb R^d)$ guarantees the existence and uniqueness. These regularity requirements appear to be optimal."
7176,12366,2019-04-12,2019-04-12,physics,34.0,1.0,1904.06016v1,Implications of positive formulas in modules (RIMS),"In this survey the role of implications of positive formulas -- finitary and infinitary -- is dicussed, in general and in module categories, where they seem of particular importance. A list of algebraic examples is given, some old, some rather new, and properties are derived from the particular shape of implications involved."
7179,12373,2019-04-12,2019-04-12,physics,9.0,1.0,1904.06023v1,ezBFT: Decentralizing Byzantine Fault-Tolerant State Machine Replication,"We present ezBFT, a novel leaderless, distributed consensus protocol capable of tolerating byzantine faults. ezBFT's main goal is to minimize the client-side latency in WAN deployments. It achieves this by (i) having no designated primary replica, and instead, enabling every replica to order the requests that it receives from clients; (ii) using only three communication steps to order requests in the common case; and (iii) involving clients actively in the consensus process. In addition, ezBFT minimizes the potentially negative effect of a byzantine replica on the overall system performance. We developed ezBFT's formal specification in TLA+, show that it provides the classic properties of BFT protocols including consistency, stability, and liveness, and developed an implementation. Our experimental evaluation reveals that ezBFT improves client-side latency by as much as 40% over state-of-the-art byzantine fault-tolerant protocols including PBFT, FaB, and Zyzzyva."
7182,12379,2019-04-12,2019-04-12,physics,1.0,1.0,1904.06028v1,Cancellation of One-loop Corrections to Scalar Masses in Yang-Mills   Theory with Flux Compactification,We calculate one-loop corrections to the mass for the zero mode of scalar field in a six-dimensional Yang-Mills theory compactified on a torus with magnetic flux. It is shown that these corrections are exactly cancelled thanks to a shift symmetry under the translation in extra spaces. This result is expected from the fact that the zero mode of scalar field is a Nambu-Goldstone boson of the translational invariance in extra spaces.
7184,12391,2019-04-12,2019-04-12,physics,2.0,7.0,1904.06040v1,Adaptive Weighting Multi-Field-of-View CNN for Semantic Segmentation in   Pathology,"Automated digital histopathology image segmentation is an important task to help pathologists diagnose tumors and cancer subtypes. For pathological diagnosis of cancer subtypes, pathologists usually change the magnification of whole-slide images (WSI) viewers. A key assumption is that the importance of the magnifications depends on the characteristics of the input image, such as cancer subtypes. In this paper, we propose a novel semantic segmentation method, called Adaptive-Weighting-Multi-Field-of-View-CNN (AWMF-CNN), that can adaptively use image features from images with different magnifications to segment multiple cancer subtype regions in the input image. The proposed method aggregates several expert CNNs for images of different magnifications by adaptively changing the weight of each expert depending on the input image. It leverages information in the images with different magnifications that might be useful for identifying the subtypes. It outperformed other state-of-the-art methods in experiments."
7190,12408,2019-04-12,2019-04-12,physics,13.0,1.0,1904.06056v1,The quaternionic/hypercomplex-correspondence,"Given a quaternionic manifold $M$ with a certain $\mathrm{U}(1)$-symmetry, we construct a hypercomplex manifold $M'$ of the same dimension. This construction generalizes the quaternionic K\""ahler/hyper-K\""ahler-correspondence. As an example of this construction, we obtain a compact homogeneous hypercomplex manifold which does not admit any hyper-K\""ahler structure. Therefore our construction is a proper generalization of the quaternionic K\""ahler/hyper-K\""ahler-correspondence."
7194,12426,2019-04-12,2019-04-12,physics,1.0,3.0,1904.06070v1,Modeling light shifts in optical lattice clocks,"We present an extended model for the lattice-induced light shifts of the clock frequency in optical lattice clocks, applicable to a wide range of operating conditions. The model extensions cover radial motional states with sufficient energies to invalidate the harmonic approximation of the confining potential. We reevaluate lattice-induced light shifts in our Yb optical lattice clock with an uncertainty of 6.1E-18 under typical clock operating conditions."
7200,12462,2019-04-12,2019-04-12,physics,1.0,1.0,1904.06101v1,A Crowdsourced Frame Disambiguation Corpus with Ambiguity,"We present a resource for the task of FrameNet semantic frame disambiguation of over 5,000 word-sentence pairs from the Wikipedia corpus. The annotations were collected using a novel crowdsourcing approach with multiple workers per sentence to capture inter-annotator disagreement. In contrast to the typical approach of attributing the best single frame to each word, we provide a list of frames with disagreement-based scores that express the confidence with which each frame applies to the word. This is based on the idea that inter-annotator disagreement is at least partly caused by ambiguity that is inherent to the text and frames. We have found many examples where the semantics of individual frames overlap sufficiently to make them acceptable alternatives for interpreting a sentence. We have argued that ignoring this ambiguity creates an overly arbitrary target for training and evaluating natural language processing systems - if humans cannot agree, why would we expect the correct answer from a machine to be any different? To process this data we also utilized an expanded lemma-set provided by the Framester system, which merges FN with WordNet to enhance coverage. Our dataset includes annotations of 1,000 sentence-word pairs whose lemmas are not part of FN. Finally we present metrics for evaluating frame disambiguation systems that account for ambiguity."
7203,12474,2019-04-12,2019-04-12,physics,2.0,1.0,1904.06112v1,Formation of Acetaldehyde on CO-rich Ices,"The radicals HCO and CH$_3$ on carbon monoxide ice surfaces were simulated using density functional theory. Their binding energy on amorphous CO ice shows broad distributions, with approximative average values of 500 K for HCO and 200 K for CH$_3$. If they are located on the surface close to each other (3 to 4 \AA), molecular dynamics calculations based on density functional theory show that they can form acetaldehyde (CH$_3$CHO) or CH$_4$ + CO in barrier-less reactions, depending on the initial orientation of the molecules with respect to each other. In some orientations, no spontaneous reactions were found, the products remained bound to the surface. Sufficient configurational sampling, inclusion of the vibrational zero point energy, and a thorough benchmark of the applied electronic structure method are important to predict reliable binding energies for such weakly interacting systems. From these results it is clear that complex organic molecules, like acetaldehyde, can be formed by recombination reactions of radicals on CO surfaces."
7207,12488,2019-04-12,2019-04-12,physics,4.0,1.0,1904.06125v1,Evidence for a TDE origin of the radio transient Cygnus A-2,"In 2015, a radio transient named Cygnus A-2 was discovered in Cygnus A with the Very Large Array. Because of its radio brightness ($\nu F_{\nu} \approx 6 \times 10^{39}$ erg s$^{-1}$), this transient likely represents a secondary black hole in orbit around the AGN. Using {\it Chandra} ACIS observations from 2015 to 2017, we have looked for an X-ray counterpart to Cygnus A-2. The separation of 0.42 arcsec means that Cygnus A-2 can not be spatially resolved, but by comparing the data with simulated \texttt{marx} data, we put an upper limit to the 2-10 keV X-ray luminosity of Cygnus A-2 of $1 \times 10^{43}$ erg s$^{-1}$. Using the Fundamental Plane for accreting black holes, we find that our upper limit to the X-ray flux of Cygnus A-2 in 2015-2017 disfavours the interpretation of Cygnus A-2 as a steadily accreting black hole. We suggest instead that Cygnus A-2 is the radio afterglow of a tidal disruption event (TDE), and that a peak in the 2-10 keV luminosity of the nuclear region in 2013, when it was observed by {\it Swift} and {\it NuSTAR}, is X-ray emission from the TDE. A TDE could naturally explain the X-ray light curve of the nuclear region, as well as the appearance of a short-lived, fast, and ionized outflow previously detected in the 2013 {\it NuSTAR} spectrum. Both the radio and X-ray luminosities fall in between typical luminosities for 'thermal' and 'jetted' TDE types, suggesting that Cygnus A-2 would be unlike previously seen TDE's."
7209,12493,2019-04-12,2019-04-12,physics,1.0,1.0,1904.06130v1,Comment on the X(3915) nonstandard hadron candidate,"I review the experimental evidence for the $X(3915)$, the candidate nonstandard meson associated with $\omega J\psi$ resonance-like peaks in $B\rightarrow K\omega J\psi$ and $\gamma\gamma\rightarrow\omega J\psi$ near $M(\omega J\psi)=3920$~MeV, and address the conjecture that it can be identified as the $\chi_{c2}^\prime$, the radial excitation of the $\chi_{c2}$ charmonium state. Since the partial decay width for $B\rightarrow K X(3915)$ is at least an order-of-magnitude larger than that for $B\rightarrow K\chi_{c2}$, its assignment as the $\chi_{c2}^\prime$ is dubious."
7212,12509,2019-04-12,2019-04-12,physics,5.0,1.0,1904.06146v1,Reverberation mapping of narrow-line Seyfert 1 galaxy I Zwicky 1: black   hole mass,"We report results of the first reverberation mapping campaign of I Zwicky 1 during $2014$-$2016$, which showed unambiguous reverberations of the broad H$\beta$ line emission to the varying optical continuum. From analysis using several methods, we obtain a reverberation lag of $\tau_{\rm H\beta}=37.2^{+4.5}_{-4.9}\,$ days. Taking a virial factor of $f_{_{\rm BLR}}=1$, we find a black hole mass of $M_{\bullet}=9.30_{-1.38}^{+1.26}\times 10^6 M_{\odot}$ from the mean spectra. The accretion rate is estimated to be $203.9_{-65.8}^{+61.0}\,L_{\rm Edd}c^{-2}$, suggesting a super-Eddington accretor, where $L_{\rm Edd}$ is the Eddington luminosity and $c$ is the speed of light. By decomposing {\it Hubble Space Telescope} images, we find that the stellar mass of the bulge of its host galaxy is $\log (M_{\rm bulge}/M_{\odot}) = \rm 10.92\pm 0.07$. This leads to a black hole to bulge mass ratio of $\sim 10^{-4}$, which is significantly smaller than that of classical bulges and elliptical galaxies. After subtracting the host contamination from the observed luminosity, we find that I Zw 1 follows the empirical $R_{\rm BLR}\propto L_{5100}^{1/2}$ relation."
7215,12524,2019-04-12,2019-04-12,physics,1.0,2.0,1904.07151v1,More on spacetime thermodynamics in the light of Weyl transformations,"It was recently found that, after performing a Weyl conformal transformation, the familiar analogy between black hole mechanics and black hole thermodynamics becomes ambiguous. It was argued that this fact can be traced back to the fundamental dichotomy between matter and geometry, which is at the heart of Einstein's field equations. As a further study of this issue, we investigate here the general link between spacetime thermodynamics and Weyl transformations from two other angles. We first examine the conformal behaviour of the horizon entropy within Wald's approach based on the fundamental diffeomorphism symmetry of $pure$ geometry. We then revisit $-$ using Weyl transformations $-$ Jacobson's derivation of Einstein's field equations, the starting point of which is precisely built on the fundamental dichotomy between matter and geometry. As a result, we show that in order for Jacobson's approach to be able to yield the right Einstein field equations in the conformal frame, a specific conformal behavior of the horizon temperature and its entropy $-$ different from what Wald's approach implies $-$ is required. The two approaches to spacetime thermodynamics become thus incompatible in the conformal frame. In addition, we show $-$ in greater detail in the conformal frame $-$ that in the presence of a null dust the thermodynamics approach for extracting Einstein's field equations necessarily fails. An extensive discussion of the whole issue is given."
7219,12547,2019-04-12,2019-04-12,physics,4.0,1.0,1904.06184v1,The Perfect Matching Reconfiguration Problem,"We study the perfect matching reconfiguration problem: Given two perfect matchings of a graph, is there a sequence of flip operations that transforms one into the other? Here, a flip operation exchanges the edges in an alternating cycle of length four. We are interested in the complexity of this decision problem from the viewpoint of graph classes. We first prove that the problem is PSPACE-complete even for split graphs and for bipartite graphs of bounded bandwidth with maximum degree five. We then investigate polynomial-time solvable cases. Specifically, we prove that the problem is solvable in polynomial time for strongly orderable graphs (that include interval graphs and strongly chordal graphs), for outerplanar graphs, and for cographs (also known as $P_4$-free graphs). Furthermore, for each yes-instance from these graph classes, we show that a linear number of flip operations is sufficient and we can exhibit a corresponding sequence of flip operations in polynomial time."
7220,12548,2019-04-12,2019-04-12,physics,1.0,1.0,1904.06185v1,Distribution Regression in Duration Analysis: an Application to   Unemployment Spells,"This article proposes estimation and inference procedures for distribution regression models with randomly right-censored data. The proposal generalizes classical duration models to a situation where slope coefficients can vary with the elapsed duration, and is suitable for discrete, continuous or mixed outcomes. Given that in general distribution regression coefficients do not have clear economic interpretation, we also propose consistent and asymptotically normal estimators for the average distribution marginal effects. Finite sample properties of the proposed method are studied by means of Monte Carlo experiments. Finally, we apply our proposed tools to study the effect of unemployment benefits on unemployment duration. Our results suggest that, on average, an increase in unemployment benefits is associated with a nonlinear, non-monotone effect on the unemployment duration distribution and that such an effect is more pronounced for workers subjected to liquidity constraints."
7221,12549,2019-04-12,2019-04-12,physics,1.0,1.0,1904.06186v3,Generating Minimal Adversarial Perturbations with Integrated Adaptive   Gradients,Deep neural networks are easily fooled high confidence predictions for adversarial samples
7225,12566,2019-04-12,2019-04-12,physics,1.0,1.0,1904.06217v2,Political Text Scaling Meets Computational Semantics,"During the last fifteen years, text scaling approaches have become a central element for the text-as-data community. However, they are based on the assumption that latent positions can be captured just by modeling word-frequency information from the different documents under study. We challenge this by presenting a new semantically aware unsupervised scaling algorithm, SemScale, which relies upon distributional representations of the documents under study. We conduct an extensive quantitative analysis over a collection of speeches from the European Parliament in five different languages and from two different legislations, in order to understand whether a) an approach that is aware of semantics would better capture known underlying political dimensions compared to a frequency-based scaling method, b) such positioning correlates in particular with a specific subset of linguistic traits, compared to the use of the entire text, and c) these findings hold across different languages. To support further research on this new branch of text scaling approaches, we release the employed dataset and evaluation setting, an easy-to-use online demo, and a Python implementation of SemScale."
7231,12609,2019-04-12,2019-04-12,physics,1.0,1.0,1904.06256v1,The Chemical Composition of Globular Clusters of Different Nature in our   Galaxy,"A catalog of Galactic globular clusters has been compiled and used to analyze relations between the chemical and kinematic parameters of the clusters. The catalog contains positions, distances, luminosities, metallicites, and horizontal-branch morphology indices for 157~globular clusters, as well as space velocities for 72~globular clusters. For 69~globular clusters, these data are suppleented with the relative abundances of 28~chemical elements produced in various nuclear-synthesis processes, taken from 101~papers published between 1986 and 2018. The tendency for redder horizontal branches in low-metallicity accreted globular clusters is discussed. The discrepancy between the criteria for cluster membership in the thick-disk and halo subsystems based on chemical and kinematic properties is considered. This is manifest through the fact that all metal-rich ($\rm{[Fe/H]} > -1.0$) clusters are located close to the center and plane of the Galaxy, regardless of their kinematic membership in particular Galaxy subsystems. An exception is three accreted clusters lost by a dwarf galaxy in Sagittarius. At the same time, the fraction of more distant clusters is high among metal-poorer clusters in any kinematically selected Galactic subsystem."
7237,12628,2019-04-12,2019-04-12,physics,2.0,1.0,1904.06275v1,Optimized micromagnet geometries for Majorana zero modes in low g-factor   materials,"Solid-state experimental realizations of Majorana bound states are based on materials with strong intrinsic spin-orbit interactions. In this work, we explore an alternative approach where spin-orbit coupling is induced artificially through a non-uniform magnetic field that originates from an array of micromagnets. Using a recently developed optimization algorithm, we find suitable micromagnet geometries for the emergence of topological superconductivity in a one-dimensional wire without intrinsic spin-orbit coupling. We confirm the robustness of Majorana bound states against micromagnet nanofabrication errors, and identify low g-factor materials commonly used in mesoscopic physics experiments as viable candidates for Majorana devices."
7252,12683,2019-04-12,2019-04-12,physics,4.0,2.0,1904.06338v1,Equilibrium particle states in weakly open dynamics,"The construction of the stationary states of a one dimensional particle moving freely or in the presence of a Dirac delta potential is an elementary exercise in quantum mechanics. This problem is generalized in this work for open dynamics where the stationary reduced density matrix is found by solving a master equation, derived for weak test particle-environment interactions. The goal is to assess the effects of decoherence and dissipative forces on the equilibrium state, with special attention payed to universal relations, obtained in the infinitesimal system-environment interaction limit. The pure plane waves are generalized into two directions, to propagating and to tunneling states, by constructing the desired representations of translations. The relaxed bound states of the Dirac delta potential cover a large class of states and the adiabatic turning on the environment interactions is used to find the relaxed final state of the usual pure bound state. The spread of the wave packet is studied by the help of the probability distribution of the coordinate and the probability flux and some fingerprints of the environment are pointed out."
7253,12685,2019-04-12,2019-04-12,physics,3.0,28.0,1904.06340v1,A Composite Likelihood-based Approach for Change-point Detection in   Spatio-temporal Process,"This paper develops a unified, accurate and computationally efficient method for change-point inference in non-stationary spatio-temporal processes. By modeling a non-stationary spatio-temporal process as a piecewise stationary spatio-temporal process, we consider simultaneous estimation of the number and locations of change-points, and model parameters in each segment. A composite likelihood-based criterion is developed for change-point and parameters estimation. Asymptotic theories including consistency and distribution of the estimators are derived under mild conditions. In contrast to classical results in fixed dimensional time series that the asymptotic error of change-point estimator is $O_{p}(1)$, exact recovery of true change-points is guaranteed in the spatio-temporal setting. More surprisingly, the consistency of change-point estimation can be achieved without any penalty term in the criterion function. A computational efficient pruned dynamic programming algorithm is developed for the challenging criterion optimization problem. Simulation studies and an application to U.S. precipitation data are provided to demonstrate the effectiveness and practicality of the proposed method."
